DATA	k	p	q	error_length	FP	FN	TP	TN	FPR	Recall
NT3	k9_L54	0.5	0.5	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k9_L54	0.5	0.5	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k9_L54	0.5	0.5	32	57	1047	2121	116358	0.0261707976965	0.669507554624
NT3	k17_Linf	0.1	0.1	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k17_Linf	0.1	0.1	8	46	43	749	118745	0.0578616279419	0.9457069513
NT3	k17_Linf	0.1	0.1	32	23	2598	570	116392	0.038785828198	0.179924236745
NT3	k17_Linf	0.1	0.25	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k17_Linf	0.1	0.25	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k17_Linf	0.1	0.25	32	44	2004	1164	116371	0.0364238380444	0.367424230826
NT3	k17_Linf	0.1	0.5	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k17_Linf	0.1	0.5	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k17_Linf	0.1	0.5	32	57	1047	2121	116358	0.0261707976965	0.669507554624
NT3	k17_Linf	0.25	0.1	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k17_Linf	0.25	0.1	8	46	43	749	118745	0.0578616279419	0.9457069513
NT3	k17_Linf	0.25	0.1	32	23	2598	570	116392	0.038785828198	0.179924236745
NT3	k17_Linf	0.25	0.25	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k17_Linf	0.25	0.25	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k17_Linf	0.25	0.25	32	44	2004	1164	116371	0.0364238380444	0.367424230826
NT3	k17_Linf	0.25	0.5	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k17_Linf	0.25	0.5	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k17_Linf	0.25	0.5	32	57	1047	2121	116358	0.0261707976965	0.669507554624
NT3	k17_Linf	0.5	0.1	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k17_Linf	0.5	0.1	8	46	43	749	118745	0.0578616279419	0.9457069513
NT3	k17_Linf	0.5	0.1	32	23	2598	570	116392	0.038785828198	0.179924236745
NT3	k17_Linf	0.5	0.25	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k17_Linf	0.5	0.25	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k17_Linf	0.5	0.25	32	44	2004	1164	116371	0.0364238380444	0.367424230826
NT3	k17_Linf	0.5	0.5	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k17_Linf	0.5	0.5	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k17_Linf	0.5	0.5	32	57	1047	2121	116358	0.0261707976965	0.669507554624
AA	k5_L30	0.1	0.1	2	3594	479	423	297698	0.894697513201	0.468957819406
AA	k5_L30	0.1	0.1	8	4066	631	2976	294521	0.577392777941	0.825062355834
AA	k5_L30	0.1	0.25	2	3993	479	423	297299	0.904211936046	0.468957819406
AA	k5_L30	0.1	0.25	8	4345	618	2989	294242	0.592446133182	0.828666458867
AA	k5_L30	0.1	0.5	2	3993	479	423	297299	0.904211936046	0.468957819406
AA	k5_L30	0.1	0.5	8	4345	618	2989	294242	0.592446133182	0.828666458867
AA	k5_L30	0.25	0.1	2	3808	479	423	297484	0.900023613802	0.468957819406
AA	k5_L30	0.25	0.1	8	4214	631	2976	294373	0.586091786007	0.825062355834
AA	k5_L30	0.25	0.25	2	4834	479	423	296458	0.919535839461	0.468957819406
AA	k5_L30	0.25	0.25	8	5094	618	2989	293493	0.630211547319	0.828666458867
AA	k5_L30	0.25	0.5	2	4858	479	423	296434	0.919901516381	0.468957819406
AA	k5_L30	0.25	0.5	8	5135	618	2989	293452	0.63207778641	0.828666458867
AA	k5_L30	0.5	0.1	2	3808	479	423	297484	0.900023613802	0.468957819406
AA	k5_L30	0.5	0.1	8	4214	631	2976	294373	0.586091786007	0.825062355834
AA	k5_L30	0.5	0.25	2	4834	479	423	296458	0.919535839461	0.468957819406
AA	k5_L30	0.5	0.25	8	5094	618	2989	293493	0.630211547319	0.828666458867
AA	k5_L30	0.5	0.5	2	4858	479	423	296434	0.919901516381	0.468957819406
AA	k5_L30	0.5	0.5	8	5135	618	2989	293452	0.63207778641	0.828666458867
AA	k9_L54	0.1	0.1	2	2592	481	421	298700	0.860272125447	0.466740524752
AA	k9_L54	0.1	0.1	8	3203	651	2956	295384	0.520051948043	0.819517581937
AA	k9_L54	0.1	0.25	2	3630	481	421	297662	0.896075021079	0.466740524752
